pred_ovlp_umamis_mean,pred_ovlp_umamis_sem,all_H_ovlp_umamis_mean,all_H_ovlp_umamis_sem,rand_ovlp_umamis_mean,rand_ovlp_umamis_sem,all_neg_ovlp_umamis_mean,all_neg_ovlp_umamis_sem
0.3675287356321839,0.047354667817496796,,,0.25086206896551727,0.03964803248352029,0.2948275862068966,0.049590230083444556
0.38296387520525454,0.043306836422103034,,,0.25328407224958943,0.0384661278774314,0.30550082101806236,0.053396984916490565
0.38706896551724135,0.04561278142187235,,,0.11149425287356322,0.0305470718113513,0.3850574712643678,0.06477770727549831
0.393336070060208,0.05588160059488192,,,0.22873563218390802,0.049724862532079965,0.3202107279693487,0.0566616250547174
0.3573070607553366,0.05418568156610493,,,0.33535851122058014,0.05136622945839412,0.3026819923371647,0.06207420224282005
0.32480842911877394,0.05196580537072436,,,0.20842911877394638,0.03984750805811098,0.2662835249042146,0.05431754213543341
0.3050766283524904,0.041456106580754694,,,0.22873563218390805,0.03806607548345627,0.267911877394636,0.049284006100277306
0.36847290640394087,0.04350436233717521,,,0.20374931581828132,0.03738926117450035,0.3208812260536399,0.05321253479322735
0.37183908045977004,0.05717214280661525,,,0.3668445539135194,0.06103286115707322,0.3942528735632185,0.06890057016817228
0.4142720306513409,0.047023335183298494,,,0.382183908045977,0.055794082436914916,0.37883141762452105,0.04583766913882963
0.37186644772851674,0.05137539158413039,,,0.359072249589491,0.04300538704128889,0.3389299397920087,0.0557864421059073
0.42701149425287355,0.042341932083664054,,,0.2655172413793103,0.041083197477790726,0.44022988505747124,0.05177816007568521
0.44994526546250674,0.05047628147034809,,,0.12125068418171865,0.027264973705482035,0.3617816091954023,0.05335859488935707
0.27155172413793105,0.04991357685901696,,,0.3667487684729064,0.04659518016404724,0.2586206896551724,0.04069785582942589
0.3618226600985222,0.04626652594322713,,,0.3346743295019157,0.05242235867874855,0.3092911877394636,0.05875021687745191
0.39317186644772845,0.052399857927846676,,,0.31179529282977564,0.04836466127332432,0.3557881773399015,0.06317423381498166
